time,intensity
0,0.00
5,0.00
10,0.00
15,0.02
20,0.05
25,0.12
30,0.28
35,0.55
40,1.10
45,1.85
50,2.40
55,1.90
60,1.20
65,0.70
70,0.35
75,0.15
80,0.05
85,0.01
90,0.00
95,0.00
100,0.00
105,0.00
110,0.00
115,0.00
120,0.00
125,0.00
130,0.00
135,0.00
140,0.00
145,0.00
150,0.00
155,0.00
160,0.00
165,0.00
170,0.00
175,0.00
180,0.00
185,0.00
190,0.00
195,0.00
200,0.00
205,0.00
210,0.00
215,0.00
220,0.00
225,0.00
230,0.00
235,0.00
240,0.00
245,0.00
250,0.00
255,0.00
260,0.00
265,0.00
270,0.00
275,0.00
280,0.00
285,0.00
290,0.00
295,0.00
300,0.00
305,0.00
310,0.00
315,0.00
320,0.00
325,0.00
330,0.00
335,0.00
340,0.00
345,0.00
350,0.00
355,0.00
360,0.00
365,0.00
370,0.00
375,0.00
380,0.00
385,0.00
390,0.00
395,0.00
400,0.00
405,0.00
410,0.00
415,0.00
420,0.00
425,0.00
430,0.00
435,0.00
440,0.00
445,0.00
450,0.00
455,0.00
460,0.00
465,0.00
470,0.00
475,0.00
480,0.00
485,0.00
490,0.00
495,0.00
500,0.00
505,0.00
510,0.00
515,0.00
520,0.00
525,0.00
530,0.00
535,0.00
540,0.00
545,0.00
550,0.00
555,0.00
560,0.00
565,0.00
570,0.00
575,0.00
580,0.00
585,0.00
590,0.00
595,0.00
600,0.00
605,0.00
610,0.00
615,0.00
620,0.00
625,0.00
630,0.00
635,0.00
640,0.00
645,0.00
650,0.00
655,0.00
660,0.00
665,0.00
670,0.00
675,0.00
680,0.00
685,0.00
690,0.00
695,0.00
700,0.00
705,0.00
710,0.00
715,0.00
720,0.00
725,0.00
730,0.00
735,0.00
740,0.00
745,0.00
750,0.00
755,0.00
760,0.00
765,0.00
770,0.00
775,0.00
780,0.00
785,0.00
790,0.00
795,0.00
800,0.00
805,0.00
810,0.00
815,0.00
820,0.00
825,0.00
830,0.00
835,0.00
840,0.00
845,0.00
850,0.00
855,0.00
860,0.00
865,0.00
870,0.00
875,0.00
880,0.00
885,0.00
890,0.00
895,0.00
900,0.00
905,0.00
910,0.00
915,0.00
920,0.00
925,0.00
930,0.00
935,0.00
940,0.00
945,0.00
950,0.00
955,0.00
960,0.00
965,0.00
970,0.00
975,0.00
980,0.00
985,0.00
990,0.00
995,0.00
1000,0.00
1005,0.00
1010,0.00
1015,0.00
1020,0.00
1025,0.00
1030,0.00
1035,0.00
1040,0.00
1045,0.00
1050,0.00
1055,0.00
1060,0.00
1065,0.00
1070,0.00
1075,0.00
1080,0.00
1085,0.00
1090,0.00
1095,0.00
1100,0.00
1105,0.00
1110,0.00
1115,0.00
1120,0.00
1125,0.00
1130,0.00
1135,0.00
1140,0.00
1145,0.00
1150,0.00
1155,0.00
1160,0.00
1165,0.00
1170,0.00
1175,0.00
1180,0.00
1185,0.00
1190,0.00
1195,0.00
1200,0.00
1205,0.00
1210,0.00
1215,0.00
1220,0.00
1225,0.00
1230,0.00
1235,0.00
1240,0.00
1245,0.00
1250,0.00
1255,0.00
1260,0.00
1265,0.00
1270,0.00
1275,0.00
1280,0.00
1285,0.00
1290,0.00
1295,0.00
1300,0.00
1305,0.00
1310,0.00
1315,0.00
1320,0.00
1325,0.00
1330,0.00
1335,0.00
1340,0.00
1345,0.00
1350,0.00
1355,0.00
1360,0.00
1365,0.00
1370,0.00
1375,0.00
1380,0.00
1385,0.00
1390,0.00
1395,0.00
1400,0.00
1405,0.00
1410,0.00
1415,0.00
1420,0.00
1425,0.00
1430,0.00
1435,0.00
1440,0.01
1445,0.03
1450,0.08
1455,0.15
1460,0.30
1465,0.55
1470,0.90
1475,1.50
1480,2.20
1485,3.10
1490,3.80
1495,4.20
1500,3.60
1505,2.80
1510,2.00
1515,1.40
1520,0.90
1525,0.55
1530,0.30
1535,0.15
1540,0.08
1545,0.03
1550,0.01
1555,0.00
1560,0.00
1565,0.00
1570,0.00
1575,0.00
1580,0.00
1585,0.00
1590,0.00
1595,0.00
1600,0.00
1605,0.00
1610,0.00
1615,0.00
1620,0.00
1625,0.00
1630,0.00
1635,0.00
1640,0.00
1645,0.00
1650,0.00
1655,0.00
1660,0.00
1665,0.00
1670,0.00
1675,0.00
1680,0.00
1685,0.00
1690,0.00
1695,0.00
1700,0.00
1705,0.00
1710,0.00
1715,0.00
1720,0.00
1725,0.00
1730,0.00
1735,0.00
1740,0.00
1745,0.00
1750,0.00
1755,0.00
1760,0.00
1765,0.00
1770,0.00
1775,0.00
1780,0.00
1785,0.00
1790,0.00
1795,0.00
1800,0.00
1805,0.00
1810,0.00
1815,0.00
1820,0.00
1825,0.00
1830,0.00
1835,0.00
1840,0.00
1845,0.00
1850,0.00
1855,0.00
1860,0.00
1865,0.00
1870,0.00
1875,0.00
1880,0.00
1885,0.00
1890,0.00
1895,0.00
1900,0.00
1905,0.00
1910,0.00
1915,0.00
1920,0.00
1925,0.00
1930,0.00
1935,0.00
1940,0.00
1945,0.00
1950,0.00
1955,0.00
1960,0.00
1965,0.00
1970,0.00
1975,0.00
1980,0.00
1985,0.00
1990,0.00
1995,0.00
2000,0.00
2005,0.00
2010,0.00
2015,0.00
2020,0.00
2025,0.00
2030,0.00
2035,0.00
2040,0.00
2045,0.00
2050,0.00
2055,0.00
2060,0.00
2065,0.00
2070,0.00
2075,0.00
2080,0.00
2085,0.00
2090,0.00
2095,0.00
2100,0.00
2105,0.00
2110,0.00
2115,0.00
2120,0.00
2125,0.00
2130,0.00
2135,0.00
2140,0.00
2145,0.00
2150,0.00
2155,0.00
2160,0.00
2165,0.00
2170,0.00
2175,0.00
2180,0.00
2185,0.00
2190,0.00
2195,0.00
2200,0.00
2205,0.00
2210,0.00
2215,0.00
2220,0.00
2225,0.00
2230,0.00
2235,0.00
2240,0.00
2245,0.00
2250,0.00
2255,0.00
2260,0.00
2265,0.00
2270,0.00
2275,0.00
2280,0.00
2285,0.00
2290,0.00
2295,0.00
2300,0.00
2305,0.00
2310,0.00
2315,0.00
2320,0.00
2325,0.00
2330,0.00
2335,0.00
2340,0.00
2345,0.00
2350,0.00
2355,0.00
2360,0.00
2365,0.00
2370,0.00
2375,0.00
2380,0.00
2385,0.00
2390,0.00
2395,0.00
2400,0.00
2405,0.00
2410,0.00
2415,0.00
2420,0.00
2425,0.00
2430,0.00
2435,0.00
2440,0.00
2445,0.00
2450,0.00
2455,0.00
2460,0.00
2465,0.00
2470,0.00
2475,0.00
2480,0.00
2485,0.00
2490,0.00
2495,0.00
2500,0.00
2505,0.00
2510,0.00
2515,0.00
2520,0.00
2525,0.00
2530,0.00
2535,0.00
2540,0.00
2545,0.00
2550,0.00
2555,0.00
2560,0.00
2565,0.00
2570,0.00
2575,0.00
2580,0.00
2585,0.00
2590,0.00
2595,0.00
2600,0.00
2605,0.00
2610,0.00
2615,0.00
2620,0.00
2625,0.00
2630,0.00
2635,0.00
2640,0.00
2645,0.00
2650,0.00
2655,0.00
2660,0.00
2665,0.00
2670,0.00
2675,0.00
2680,0.00
2685,0.00
2690,0.00
2695,0.00
2700,0.00
2705,0.00
2710,0.00
2715,0.00
2720,0.00
2725,0.00
2730,0.00
2735,0.00
2740,0.00
2745,0.00
2750,0.00
2755,0.00
2760,0.00
2765,0.00
2770,0.00
2775,0.00
2780,0.00
2785,0.00
2790,0.00
2795,0.00
2800,0.00
2805,0.00
2810,0.00
2815,0.00
2820,0.00
2825,0.00
2830,0.00
2835,0.00
2840,0.00
2845,0.00
2850,0.00
2855,0.00
2860,0.00
2865,0.00
2870,0.02
2875,0.05
2880,0.10
2885,0.18
2890,0.25
2895,0.38
2900,0.50
2905,0.65
2910,0.80
2915,0.95
2920,1.10
2925,1.00
2930,0.85
2935,0.70
2940,0.55
2945,0.40
2950,0.28
2955,0.15
2960,0.08
2965,0.03
2970,0.01
2975,0.00
2980,0.00
